                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.44359,                0.45048,                0.91689,                0.99036,                0.99139,                0.99178,                0.89981,                0.41446,                0.37064,                0.87991,             0.00056345,             0.00056345,             0.00056345
                     56,                0.44424,                0.44246,                0.91623,                0.99581,                0.99444,                0.99201,                0.88964,                0.42409,                0.41918,                 0.8839,             0.00055964,             0.00055964,             0.00055964
                     57,                0.45029,                0.43459,                0.90817,                0.99223,                0.99444,                0.99232,                0.86262,                0.44307,                0.42078,                0.90061,             0.00055583,             0.00055583,             0.00055583
                     58,                0.43663,                0.42266,                  0.902,                0.94794,                0.99444,                0.98784,                0.85565,                0.48762,                0.41108,                0.93975,             0.00055203,             0.00055203,             0.00055203
                     59,                0.45807,                0.43579,                0.92031,                0.89643,                0.99444,                0.98961,                0.86694,                0.42587,                0.40216,                0.89124,             0.00054822,             0.00054822,             0.00054822
                     60,                0.42144,                0.42439,                0.90627,                0.97668,                0.99161,                0.99297,                0.86717,                0.50162,                0.40735,                0.94848,             0.00054441,             0.00054441,             0.00054441
                     61,                0.44743,                0.42587,                0.91645,                 0.9753,                0.99305,                0.99186,                0.86618,                0.45938,                0.39219,                0.91716,             0.00054061,             0.00054061,             0.00054061
                     62,                0.44445,                0.42063,                0.91757,                0.97753,                0.99444,                 0.9919,                0.87414,                0.43593,                0.36326,                0.90264,              0.0005368,              0.0005368,              0.0005368
                     63,                0.43847,                0.41989,                 0.9136,                0.97512,                0.99444,                0.99175,                0.88364,                 0.4491,                0.35712,                 0.9084,             0.00053299,             0.00053299,             0.00053299
                     64,                0.43926,                0.40872,                0.89933,                0.99047,                0.99334,                0.99183,                  0.913,                0.42491,                0.34177,                0.90512,             0.00052919,             0.00052919,             0.00052919
                     65,                0.45307,                0.41153,                0.91105,                0.99587,                0.97644,                0.98517,                0.89029,                0.41806,                0.36187,                0.89442,             0.00052538,             0.00052538,             0.00052538
                     66,                0.41478,                0.41508,                0.90715,                0.99571,                0.99433,                 0.9922,                0.89093,                0.42734,                0.31424,                 0.9037,             0.00052157,             0.00052157,             0.00052157
                     67,                0.41924,                0.39495,                0.90652,                0.98967,                 0.9923,                 0.9918,                0.91506,                0.46113,                0.33602,                0.92549,             0.00051777,             0.00051777,             0.00051777
                     68,                0.43079,                0.39848,                 0.9097,                0.99017,                  0.993,                0.99184,                0.90207,                  0.458,                0.31262,                 0.9319,             0.00051396,             0.00051396,             0.00051396
